aluno.escola.nome;aluno.numero_identificacao;aluno.periodo;aluno.turma;aluno.nascimento;aluno.sexo;aluno.raca
Escola municipal de T.I. Margarida Gonçalves;7064;3;92.01;2003-11-20;1;3
Escola municipal de T.I. Margarida Gonçalves;7172;3;92.01;2004-04-23;1;3
Escola municipal de T.I. Margarida Gonçalves;7257;3;92.01;2003-07-14;1;3
Escola municipal de T.I. Margarida Gonçalves;7307;3;92.01;2004-01-14;3;1
Escola municipal de T.I. Margarida Gonçalves;7154;3;92.01;2004-04-07;1;1
Escola municipal de T.I. Margarida Gonçalves;7197;3;92.01;2004-01-29;1;3
Escola municipal de T.I. Margarida Gonçalves;7481;3;92.01;2003-10-15;1;3
Escola municipal de T.I. Margarida Gonçalves;7497;3;92.01;2003-08-05;3;3
Escola municipal de T.I. Margarida Gonçalves;7137;3;92.01;2003-10-10;0;4
Escola municipal de T.I. Margarida Gonçalves;7229;3;92.01;2018-06-24;0;3
Escola municipal de T.I. Margarida Gonçalves;7461;3;92.01;2018-12-25;0;3
Escola municipal de T.I. Margarida Gonçalves;7037;3;92.01;2003-08-29;1;3
Escola municipal de T.I. Margarida Gonçalves;7203;3;92.01;2003-12-20;1;3
Escola municipal de T.I. Margarida Gonçalves;7234;3;92.01;2003-12-02;3;3
Escola municipal de T.I. Margarida Gonçalves;7186;3;92.01;2003-10-23;1;3
Escola municipal de T.I. Margarida Gonçalves;7492;3;92.01;2013-06-19;1;3
Escola municipal de T.I. Margarida Gonçalves;7297;3;92.01;2004-07-07;1;3
Escola municipal de T.I. Margarida Gonçalves;7401;3;92.01;2018-11-19;3;2
Escola municipal de T.I. Margarida Gonçalves;7365;3;92.01;2004-06-19;0;3
Escola municipal de T.I. Margarida Gonçalves;7019;3;92.01;2003-04-07;3;4
Escola municipal de T.I. Margarida Gonçalves;7005;3;92.01;2004-02-06;3;2
Escola municipal de T.I. Margarida Gonçalves;7110;3;92.01;2003-12-13;0;3
Escola municipal de T.I. Margarida Gonçalves;7158;3;92.01;2004-03-05;3;0
Escola municipal de T.I. Margarida Gonçalves;7001;3;92.01;2003-04-07;3;4
Escola municipal de T.I. Margarida Gonçalves;7342;3;92.01;2004-10-30;1;4
Escola municipal de T.I. Margarida Gonçalves;7086;3;92.01;2003-12-17;1;3
Escola municipal de T.I. Margarida Gonçalves;B;3;92.01;2004-02-02;1;3
Escola municipal de T.I. Margarida Gonçalves;c;3;92.01;2003-10-10;0;3
Escola municipal de T.I. Margarida Gonçalves;7339;3;92.01;2003-09-06;1;3
Escola municipal de T.I. Margarida Gonçalves;7215;3;92.01;2003-11-10;1;
Escola municipal de T.I. Margarida Gonçalves;7306;3;92.01;2004-09-19;1;3
Escola municipal de T.I. Margarida Gonçalves;7401A;3;92.01;2003-11-19;0;
Escola municipal de T.I. Margarida Gonçalves;7264;3;92.02;2003-10-21;1;3
Escola municipal de T.I. Margarida Gonçalves;7287;3;92.02;2004-04-14;1;1
Escola municipal de T.I. Margarida Gonçalves;7174;3;92.02;2003-12-03;0;3
Escola municipal de T.I. Margarida Gonçalves;7144;3;92.02;2004-10-30;1;3
Escola municipal de T.I. Margarida Gonçalves;7179;3;92.02;2003-12-17;0;4
Escola municipal de T.I. Margarida Gonçalves;7120;3;92.02;2018-11-13;0;4
Escola municipal de T.I. Margarida Gonçalves;7170;3;92.02;2003-12-20;1;3
Escola municipal de T.I. Margarida Gonçalves;7089;3;92.02;2004-02-14;1;3
Escola municipal de T.I. Margarida Gonçalves;7131;3;92.02;2003-06-01;1;4
Escola municipal de T.I. Margarida Gonçalves;7146;3;7146;2003-07-21;0;4
Escola municipal de T.I. Margarida Gonçalves;7383;3;92.02;2003-07-02;1;3
Escola municipal de T.I. Margarida Gonçalves;7369;3;92.02;2004-02-27;1;4
Escola municipal de T.I. Margarida Gonçalves;7274;3;92.02;2003-06-01;0;3
Escola municipal de T.I. Margarida Gonçalves;7058;3;92.02;2003-04-29;1;3
Escola municipal de T.I. Margarida Gonçalves;7002;3;9202;2004-01-24;1;4
Escola municipal de T.I. Margarida Gonçalves;7117;3;92.02;2004-04-25;1;3
Escola municipal de T.I. Margarida Gonçalves;7078;3;92.02;2003-05-05;1;1
Escola municipal de T.I. Margarida Gonçalves;7203A;3;92.02;2003-10-23;0;3
Escola municipal de T.I. Margarida Gonçalves;7245;3;92.02;2003-11-06;0;1
Escola municipal de T.I. Margarida Gonçalves;7196;3;92.02;2003-07-10;0;1
Escola municipal de T.I. Margarida Gonçalves;7490;3;92.02;2004-06-24;0;
Escola municipal de T.I. Margarida Gonçalves;7293;3;92.02;2003-07-05;0;3
Escola municipal de T.I. Margarida Gonçalves;7326;3;92.02;2004-12-07;0;0
Escola municipal de T.I. Margarida Gonçalves;A;3;92.02;2004-01-24;1;3
Escola municipal de T.I. Margarida Gonçalves;g;3;92.02;2003-05-31;1;4
Escola municipal de T.I. Margarida Gonçalves;7062;3;92.02;2003-08-25;1;1
Escola municipal de T.I. Margarida Gonçalves;l;3;92.02;2003-11-07;0;4
Escola municipal de T.I. Margarida Gonçalves;M;3;92.02;2003-12-19;0;3
Escola municipal de T.I. Margarida Gonçalves;7128;3;92.01;2004-03-17;1;4
Escola municipal de T.I. Margarida Gonçalves;7410;3;92.02;2003-10-21;1;1
Escola municipal de T.I. Margarida Gonçalves;7095;3;92.02;2018-11-13;0;
Escola municipal de T.I. Margarida Gonçalves;7331;3;92.02;2003-06-01;1;4
Escola municipal de T.I. Margarida Gonçalves;7319;3;92.02;2004-06-22;0;1
Escola municipal de T.I. Margarida Gonçalves;p;3;92.02;2018-11-13;0;4
Escola municipal Mestre Pacífico S. Campos;5484;0;92.01;2003-05-15;0;3
Escola municipal Mestre Pacífico S. Campos;5103;0;92.01;2004-01-12;0;4
Escola municipal Mestre Pacífico S. Campos;5489;0;92.01;2003-09-18;1;4
Escola municipal Mestre Pacífico S. Campos;5433;0;92.01;2004-02-15;1;1
Escola municipal Mestre Pacífico S. Campos;5124;0;92.01;2004-08-08;1;3
Escola municipal Mestre Pacífico S. Campos;5422;0;92.01;2004-07-25;0;3
Escola municipal Mestre Pacífico S. Campos;5406;0;92.01;2004-05-13;0;1
Escola municipal Mestre Pacífico S. Campos;5477;0;92.01;2004-03-29;0;3
Escola municipal Mestre Pacífico S. Campos;5062;0;92.01;2018-04-03;0;3
Escola municipal Mestre Pacífico S. Campos;5250;0;92.01;2004-01-20;0;3
Escola municipal Mestre Pacífico S. Campos;5177;0;92.01;2003-09-13;1;3
Escola municipal Mestre Pacífico S. Campos;5027;0;92.01;2004-01-26;1;3
Escola municipal Mestre Pacífico S. Campos;5426;0;92.01;2003-11-06;1;0
Escola municipal Mestre Pacífico S. Campos;5428;0;92.01;2018-10-22;0;3
Escola municipal Mestre Pacífico S. Campos;5201;0;92.01;2003-08-05;0;1
Escola municipal Mestre Pacífico S. Campos;5276;0;92.01;2003-11-30;1;3
Escola municipal Mestre Pacífico S. Campos;5273;0;92.01;2003-10-22;1;3
Escola municipal Mestre Pacífico S. Campos;5049;0;92.01;2018-11-05;1;3
Escola municipal Mestre Pacífico S. Campos;5041;0;92.01;2002-12-26;1;1
Escola municipal Mestre Pacífico S. Campos;5388;0;92.01;2001-10-23;0;3
Escola municipal Mestre Pacífico S. Campos;5284;0;92.01;2003-05-05;1;3
Escola municipal Mestre Pacífico S. Campos;5003;0;92.01;2004-11-05;1;3
Escola municipal Mestre Pacífico S. Campos;5348;0;92.01;2003-05-15;1;3
Escola municipal Mestre Pacífico S. Campos;5361;0;92.01;2003-11-20;0;3
Escola municipal Mestre Pacífico S. Campos;5202;0;92.01;2018-09-10;0;3
Escola municipal Mestre Pacífico S. Campos;5047;0;92.01;2004-12-28;1;0
Escola municipal Mestre Pacífico S. Campos;5306;0;92.01;2004-04-24;0;3
Escola municipal Mestre Pacífico S. Campos;5382;0;92.01;2004-01-05;0;2
Escola municipal Mestre Pacífico S. Campos;5461;0;92.01;2003-08-23;1;3
Escola municipal Mestre Pacífico S. Campos;5391;0;92.01;2003-08-10;1;4
Escola municipal Mestre Pacífico S. Campos;5322;0;92.01;2004-04-04;1;1
Escola municipal Mestre Pacífico S. Campos;5469;0;92.01;2004-01-12;0;3
Escola municipal Mestre Pacífico S. Campos;5107;0;92.01;2003-11-05;1;3
Escola municipal Mestre Pacífico S. Campos;5321;0;92.01;2003-08-31;1;0
Escola municipal Mestre Pacífico S. Campos;5136;0;92.01;2004-01-27;0;3
Escola municipal Mestre Pacífico S. Campos;5367;0;92.01;2004-04-12;1;1
Escola municipal Mestre Pacífico S. Campos;5305;0;92.01;2004-03-09;1;3
Escola municipal Mestre Pacífico S. Campos;5427;1;92.03;2003-09-08;0;3
Escola municipal Mestre Pacífico S. Campos;5005;0;92.03;2004-04-24;0;3
Escola municipal Mestre Pacífico S. Campos;5032;1;92.03;2004-05-10;0;1
Escola municipal Mestre Pacífico S. Campos;5272;1;92.03;2002-11-27;0;3
Escola municipal Mestre Pacífico S. Campos;5317;0;92.03;2002-03-12;1;0
Escola municipal Mestre Pacífico S. Campos;5247;1;92.03;2004-01-12;0;1
Escola municipal Mestre Pacífico S. Campos;5460;1;92.03;2004-04-24;1;3
Escola municipal Mestre Pacífico S. Campos;5100;0;92.03;2003-11-05;1;1
Escola municipal Mestre Pacífico S. Campos;5246;1;92.03;2003-07-29;0;4
Escola municipal Mestre Pacífico S. Campos;5241;1;92.03;2002-10-08;0;3
Escola municipal Mestre Pacífico S. Campos;5341;1;92.03;2004-02-21;1;3
Escola municipal Mestre Pacífico S. Campos;5482;1;92.03;2002-12-15;1;3
Escola municipal Mestre Pacífico S. Campos;5405;1;92.03;2004-04-21;;3
Escola municipal Mestre Pacífico S. Campos;5465;1;92.03;2003-12-20;1;3
Escola municipal Mestre Pacífico S. Campos;5087;1;92.03;2018-03-20;1;3
Escola municipal Mestre Pacífico S. Campos;5403;1;92.03;2004-02-19;1;3
Escola municipal Mestre Pacífico S. Campos;5008;1;92.03;2003-12-15;1;3
Escola municipal Mestre Pacífico S. Campos;5497;1;92.03;2003-10-11;1;0
Escola municipal Mestre Pacífico S. Campos;5051;1;92.03;2002-02-15;1;3
Escola municipal Mestre Pacífico S. Campos;5441;1;92.03;2002-11-24;0;3
Escola municipal Mestre Pacífico S. Campos;5122;1;92.03;2000-09-30;1;1
Escola municipal Mestre Pacífico S. Campos;5254;1;92.03;2004-03-15;1;4
Escola municipal Mestre Pacífico S. Campos;5080;1;92.03;2003-03-07;1;3
Escola municipal Mestre Pacífico S. Campos;5274;1;92.03;2003-10-07;1;3
Escola municipal Mestre Pacífico S. Campos;5132;1;92.03;2003-10-10;1;4
Escola municipal Mestre Pacífico S. Campos;5140;1;92.03;2000-06-22;0;4
Escola municipal Mestre Pacífico S. Campos;5409A;1;92.03;2003-08-13;1;3
Escola municipal Mestre Pacífico S. Campos;5373;1;92.03;2003-05-11;1;3
Escola municipal Mestre Pacífico S. Campos;5002-B;1;92.03;2018-03-17;0;0
Escola municipal Mestre Pacífico S. Campos;5002-A;1;92.03;2002-10-11;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5823-A;3;92.01;2003-12-07;1;1
Escola municipal de T.I. Padre Josimo M. Tavares;5823-B;3;92.01;2004-01-07;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5630;3;92.01;2004-03-30;1;0
Escola municipal de T.I. Padre Josimo M. Tavares;5757;3;92.01;2003-09-28;1;1
Escola municipal de T.I. Padre Josimo M. Tavares;5520;3;92.01;2005-02-06;1;3
Escola Municipal Beatriz Rodrigues da Silva-2019;5573;3;92.01;2003-04-01;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5748;3;92.01;2004-03-15;0;4
Escola municipal de T.I. Padre Josimo M. Tavares;5769;3;92.01;2004-07-28;1;4
Escola municipal de T.I. Padre Josimo M. Tavares;5999;3;92.01;2003-03-11;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5910;3;92.01;2003-11-01;;3
Escola municipal de T.I. Padre Josimo M. Tavares;5634;3;92.01;2003-10-31;1;1
Escola municipal de T.I. Padre Josimo M. Tavares;5674;3;92.01;2003-06-15;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5892;3;92.01;2003-12-10;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5885;3;92.01;2004-01-24;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5881;3;92.01;2004-01-03;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5643;3;92.01;2003-08-22;0;4
Escola municipal de T.I. Padre Josimo M. Tavares;5797;3;92.01;2003-08-11;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5974;3;92.01;2004-01-26;0;2
Escola municipal de T.I. Padre Josimo M. Tavares;5986;3;92.01;2004-06-10;1;1
Escola municipal de T.I. Padre Josimo M. Tavares;5553;3;92.01;2004-07-25;0;0
Escola municipal de T.I. Padre Josimo M. Tavares;5650;3;92.01;2004-10-30;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5655;3;92.01;2004-03-02;1;0
Escola municipal de T.I. Padre Josimo M. Tavares;5944;3;92.01;2003-08-13;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5560;3;92.01;2002-10-17;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5939;3;92.01;2018-10-01;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5581;3;92.01;2003-08-26;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5966;3;92.01;2003-11-04;1;1
Escola municipal de T.I. Padre Josimo M. Tavares;5710;3;92.01;2018-12-09;0;2
Escola municipal de T.I. Padre Josimo M. Tavares;5738;3;92.01;2004-04-17;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5752;3;92.01;2004-08-11;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5815-A;3;92.01;2018-11-25;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5648;3;92.01;2003-10-17;0;4
Escola municipal de T.I. Padre Josimo M. Tavares;5941;3;92.01;2003-12-23;0;4
Escola municipal de T.I. Padre Josimo M. Tavares;5522;3;92.01;2018-11-30;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;NVC;3;92.01;2018-01-01;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5720;3;92.01;2004-05-13;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5638;3;92.02;2004-03-21;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5606;3;92.02;2003-10-23;1;3
Escola municipal de T.I. Padre Josimo M. Tavares;5514;3;92.02;2003-09-16;0;3
Escola municipal de T.I. Padre Josimo M. Tavares;5612;3;92.02;2018-01-01;3;3
Escola municipal de T.I. Padre Josimo M. Tavares;5923;3;92.02;2018-10-11;0;1
Escola municipal de T.I. Padre Josimo M. Tavares;5615;3;92.02;2003-09-23;0;3
